ID,EMPRESA,Setor primário,SSL/TLS enabled,Responsive
1,ArcelorMittal Siderúrgica,"Siderurgia, Mineração e Metalurgia",True,
2,Comexport,"Transporte, Logística e Serviços Logísticos",True,False
3,Emae,Energia,False,True
4,Amil,Operadoras de Planos de Saúde,True,
5,Alfa Seguradora,Seguradoras,False,False
6,Alibem,Alimentos e Bebidas,True,
7,Andriello,Moda e Vestuário,False,False
8,Banco Caixa Geral - Brasil,Bancos,True,False
9,BNDESPar,Participações e Mídia,True,
10,Bremil,Alimentos e Bebidas,,
11,Copel,Energia,True,True
12,Ebam,"Siderurgia, Mineração e Metalurgia",True,False
13,Focus Tecnologia de Plásticos,Petróleo e Químico,True,False
14,Hub Pagamentos,Bancos,True,True
15,Isa CTEEP,Energia,True,False
16,Lojas Le Biscuit,Atacado e Varejo,True,True
17,Lupatech,Petróleo e Químico,True,True
18,Metalfrio Solutions,Bens de Capital e Eletroeletrônicos,True,False
19,Banco Mizuho do Brasil,Bancos,True,
20,Montecitrus Participações,Agronegócio,False,False
21,Pamplona,Alimentos e Bebidas,True,True
22,São Carlos,Imobiliário e Construção Civil,True,
23,WEG-Cestari,Bens de Capital e Eletroeletrônicos,False,True
24,Abimex,"Transporte, Logística e Serviços Logísticos",True,True
25,Ademicon Consórcio e Investimento,Serviços Financeiros,True,True
26,Grupo ADN,Imobiliário e Construção Civil,True,
27,Cereais Vale do Javaés,Agronegócio,True,
28,Elektro - Distribuidora de Energia,Energia,True,False
30,PBio,Energia,True,True
31,Rede Energia,Energia,True,
32,Neoenergia Morro do Chapéu,Energia,True,
33,Neoenergia Brasília,Energia,True,
34,Banco Agibank,Bancos,True,True
35,Agora Telecom,Tecnologia e Telecomunicações,,
36,AGP Negócios e Participações,Participações e Mídia,True,True
37,Agrofel,Agronegócio,True,
38,AgroGalaxy Participações,Agronegócio,True,True
39,Agrovale,Agronegócio,True,True
40,Alcast,"Siderurgia, Mineração e Metalurgia",,
41,Álcool Ferreira,Agronegócio,True,
42,Aliança Energia,Energia,True,True
43,Allied Tecnologia,Tecnologia e Telecomunicações,True,
44,Allos,Imobiliário e Construção Civil,True,
46,American Life Seguros,Seguradoras,True,
47,Alpargatas,Moda e Vestuário,True,False
48,Althaia,Farmacêutico e Beleza,True,
49,Ambar,Energia,True,
50,Ambipar,Saneamento e Meio Ambiente,False,True
51,Americanet,Tecnologia e Telecomunicações,True,
52,Amha Saúde,Operadoras de Planos de Saúde,True,True
53,Anaconda Farinha de Trigo,Alimentos e Bebidas,True,True
