ID,JavaScript frameworks
1,Vue.js
4,Vue.js
9,Vue.js
11,Vue.js
14,Gatsby
19,AngularJS
21,Svelte
21,Prototype
22,Vue.js
22,MooTools
23,MooTools
28,Vue.js
32,Angular
34,Gatsby
34,Next.js
40,Svelte
48,Vue.js
52,Svelte
58,Next.js
60,Angular
62,Vue.js
63,Svelte
67,Vue.js
70,Vue.js
78,Angular
84,Angular
89,Backbone.js
89,Vue.js
95,Svelte
96,Svelte
97,Vue.js
99,Vue.js
103,Backbone.js
103,Vue.js
106,Svelte
107,Vue.js
115,Angular
117,Nuxt.js
117,Vue.js
124,Angular
124,Next.js
125,Svelte
125,Alpine.js
129,Svelte
129,AngularJS
130,AngularJS
130,Handlebars
130,Angular
134,Svelte
136,Svelte
137,Backbone.js
137,Marionette.js
139,Svelte
139,Vue.js
140,Next.js
141,Gatsby
141,Angular
143,Vue.js
146,Knockout.js
147,Knockout.js
148,Knockout.js
149,Vue.js
153,Svelte
167,Angular
175,Stimulus
177,Gatsby
179,Angular
181,Svelte
188,Angular
191,Gatsby
192,Svelte
195,Vue.js
195,Angular
195,Next.js
200,Svelte
200,Vue.js
202,Angular
206,Vue.js
208,Mustache
212,Vue.js
213,Angular
217,Vue.js
221,Knockout.js
221,Mustache
225,Backbone.js
227,Alpine.js
227,Svelte
230,AngularJS
230,Svelte
231,Angular
233,Angular
234,Angular
236,Prototype
243,AngularJS
251,Svelte
251,Alpine.js
252,Next.js
257,Vue.js
261,Vue.js
261,Angular
262,AngularJS
262,Vue.js
263,Angular
265,Next.js
269,Vue.js
270,Next.js
273,Svelte
275,Mustache
290,Svelte
300,Angular
303,Svelte
305,Svelte
306,Angular
306,AngularJS
306,Vue.js
311,Next.js
311,Vue.js
315,Vue.js
327,Backbone.js
330,Vue.js
338,Svelte
338,Angular
340,Svelte
340,Alpine.js
341,Vue.js
343,Next.js
347,Svelte
348,Angular
350,Nuxt.js
350,Vue.js
356,Vue.js
356,Stimulus
356,AngularJS
357,Vue.js
357,Angular
358,Vue.js
360,Nuxt.js
360,Vue.js
362,Vue.js
366,Vue.js
370,Vue.js
372,Backbone.js
372,Next.js
372,Svelte
373,Vue.js
374,Handlebars
375,Angular
375,Handlebars
376,Svelte
380,Svelte
381,Vue.js
385,Next.js
390,Next.js
390,Vue.js
391,Backbone.js
394,Angular
394,Vue.js
397,Svelte
398,Astro
402,Nuxt.js
402,Vue.js
403,Svelte
405,Vue.js
412,Next.js
412,Svelte
420,Angular
420,Vue.js
422,Angular
422,Vue.js
428,Next.js
434,Vue.js
435,Vue.js
438,Stimulus
440,Next.js
442,Next.js
447,Next.js
449,Svelte
454,Next.js
456,Vue.js
459,Angular
461,Nuxt.js
461,Vue.js
463,Angular
465,Svelte
466,Vue.js
467,Svelte
469,Handlebars
471,Vue.js
471,Angular
472,AngularJS
473,Vue.js
476,Next.js
477,AngularJS
479,Next.js
485,Knockout.js
488,MooTools
490,Vue.js
491,Next.js
491,Svelte
492,Svelte
493,Svelte
495,Handlebars
497,Angular
498,Svelte
500,Vue.js
500,Nuxt.js
503,Vue.js
506,Svelte
506,Vue.js
510,Next.js
510,Vue.js
517,Alpine.js
519,Vue.js
521,Angular
521,Vue.js
523,AMP
523,Vue.js
526,Vue.js
526,Svelte
527,Vue.js
538,Next.js
540,Knockout.js
540,Mustache
543,Angular
544,Vue.js
544,Handlebars
546,Vue.js
553,Backbone.js
554,Vue.js
554,Angular
554,Svelte
555,Next.js
556,Vue.js
557,Vue.js
559,AMP
559,Nuxt.js
559,Vue.js
562,Vue.js
567,Vue.js
