ID,Web servers
1,IIS
2,IIS
3,Apache HTTP Server
7,Apache HTTP Server
9,Nginx
12,Apache HTTP Server
12,Nginx
13,Nginx
16,Deno
16,Fresh
17,Apache HTTP Server
18,IIS
20,Apache HTTP Server
21,LiteSpeed
22,lighttpd
23,Apache HTTP Server
23,Nginx
24,LiteSpeed
25,Nginx
27,Apache HTTP Server
31,Nginx
31,OpenResty
34,Next.js
35,Apache HTTP Server
36,Apache HTTP Server
37,Apache HTTP Server
38,Nginx
38,Apache HTTP Server
39,Apache HTTP Server
40,IIS
42,Apache HTTP Server
43,Apache HTTP Server
46,Apache HTTP Server
48,Nginx
51,Nginx
51,Apache HTTP Server
52,Apache HTTP Server
53,Apache HTTP Server
54,Apache HTTP Server
55,Nginx
56,Nginx
57,Nginx
57,LiteSpeed
58,Next.js
58,Nginx
59,Nginx
60,LiteSpeed
61,LiteSpeed
62,Nginx
64,Apache HTTP Server
65,Nginx
72,Nginx
73,Apache HTTP Server
77,Apache HTTP Server
78,Nginx
78,Kestrel
79,Nginx
80,Apache HTTP Server
81,Apache HTTP Server
82,Apache HTTP Server
86,Nginx
87,Nginx
95,Apache HTTP Server
96,LiteSpeed
98,Nginx
99,Kestrel
100,Apache HTTP Server
101,Apache HTTP Server
102,Apache HTTP Server
104,Apache HTTP Server
105,Nginx
106,Nginx
107,LiteSpeed
107,Nginx
108,Apache HTTP Server
109,Apache HTTP Server
110,Nginx
112,Apache HTTP Server
118,Apache HTTP Server
119,Apache HTTP Server
122,Nginx
123,Apache HTTP Server
124,Next.js
125,Apache HTTP Server
127,IIS
128,Nginx
129,Apache Tomcat
130,Apache HTTP Server
131,IIS
132,Apache HTTP Server
133,Apache HTTP Server
134,IIS
135,IIS
136,Apache HTTP Server
137,LiteSpeed
138,Nginx
139,Apache HTTP Server
140,Apache HTTP Server
140,Next.js
142,Nginx
143,Apache HTTP Server
144,Apache HTTP Server
145,LiteSpeed
149,Nginx
150,Apache HTTP Server
151,LiteSpeed
152,Apache HTTP Server
153,Nginx
154,Apache HTTP Server
155,Nginx
157,Apache HTTP Server
158,Nginx
159,Nginx
160,Apache HTTP Server
161,Apache HTTP Server
163,Nginx
164,Apache HTTP Server
165,Apache HTTP Server
166,Apache HTTP Server
168,Express
169,Apache HTTP Server
172,Apache HTTP Server
174,Apache HTTP Server
175,Apache HTTP Server
176,Apache HTTP Server
180,Nginx
184,Nginx
185,LiteSpeed
186,Nginx
187,Nginx
188,Express
189,IIS
192,IIS
193,LiteSpeed
194,Cowboy
195,Next.js
196,Nginx
196,Express
197,LiteSpeed
200,Apache HTTP Server
203,Apache HTTP Server
210,Apache HTTP Server
212,Fresh
212,Deno
212,Nginx
214,Apache HTTP Server
215,Nginx
216,Nginx
217,Apache HTTP Server
219,Apache HTTP Server
221,Microsoft HTTPAPI
222,Nginx
223,Nginx
224,LiteSpeed
225,Apache HTTP Server
